block_id,block_type,grid_width,grid_height,area_cells,area_m2,original_x,original_y,original_z,vertices,faces,file_size_mb,processing_time
4376_643_000,trestle,17,6,102,102.0,16.62307800000002,6.257501999999999,14.343720000000001,13191,8089,0.2424468994140625,0.035143375396728516
4376_646_000,trestle,22,8,176,176.0,21.804290999999978,8.432646000000002,9.172827000000002,12155,6977,0.222747802734375,0.03153634071350098
4376_647_000,trestle,22,13,286,286.0,21.817688000000032,13.485140000000001,6.611424999999997,14685,8169,0.30743408203125,0.03687787055969238
4376_652_000,trestle,15,4,60,60.0,15.004104999999981,3.6058309999999985,14.337208999999998,8925,5226,0.1570892333984375,0.02626967430114746
4376_653_000,trestle,17,6,102,102.0,16.62307800000002,6.257501000000001,14.343723000000004,13243,8032,0.2423095703125,0.03931283950805664
4376_656_000,trestle,22,8,176,176.0,21.804290999999978,8.432646000000002,9.175489999999996,11995,6824,0.216583251953125,0.03012990951538086
4376_657_000,trestle,22,13,286,286.0,21.820862000000034,13.485139,6.611429000000001,14498,8100,0.305419921875,0.0381162166595459
4376_666_000,trestle,22,13,286,286.0,21.813354000000004,13.375982,5.298256000000002,12826,7330,0.258941650390625,0.036090850830078125
4376_667_000,trestle,22,20,440,440.0,22.127501999999993,20.045661000000003,5.298508000000002,14046,8145,0.28564453125,0.03512430191040039
4376_676_000,trestle,22,13,286,286.0,21.81298800000002,13.375982,5.295542000000001,12824,7377,0.25927734375,0.03570437431335449
4376_677_000,trestle,22,20,440,440.0,22.127501999999993,20.060371,5.297768000000001,13903,8080,0.28717041015625,0.03769731521606445
4376_686_000,trestle,22,17,374,374.0,21.81384300000002,16.673652000000004,5.294922,15243,9146,0.30450439453125,0.04131650924682617
4376_687_000,trestle,22,25,550,550.0,21.989837000000023,25.301981,5.295428000000001,15821,8789,0.3070831298828125,0.04094696044921875
4376_696_000,trestle,22,17,374,374.0,21.81228699999997,16.673650000000002,5.297756,15267,9149,0.302337646484375,0.04122042655944824
4376_697_000,trestle,22,27,594,594.0,21.989837000000023,26.921752,5.298233,16306,9061,0.3154144287109375,0.040520429611206055
4377_125_000,trestle,14,6,84,84.0,13.800003000000004,6.247501999999997,9.149255999999998,5454,3180,0.1049346923828125,0.03798556327819824
4377_135_000,trestle,14,6,84,84.0,13.800003000000004,6.247501,9.149259,5220,3004,0.101043701171875,0.017255544662475586
4377_148_000,trestle,15,6,90,90.0,15.200966000000001,6.408942,16.930206000000002,11513,7172,0.2026214599609375,0.028879642486572266
4377_158_000,trestle,15,6,90,90.0,15.200707000000001,6.408940999999999,16.930209999999995,11645,7135,0.199920654296875,0.02830815315246582
4377_162_000,trestle,22,8,176,176.0,21.952886,8.322021,5.426123999999998,8433,5046,0.1769561767578125,0.023840665817260742
