🚀 2D BLOCK PROCESSING REPORT
==================================================

📊 PROCESSING STATISTICS
------------------------------
Total files: 446
Successful: 446
Failed: 0
Skipped: 0
Success rate: 100.0%

📦 PROCESSED BLOCKS
------------------------------
4386_20K             | crane    | 10×26 | 260 cells | 2.2s
4386_282_000         | trestle  | 10× 7 |  70 cells | 1.5s
4386_292_000         | trestle  | 10× 7 |  70 cells | 1.5s
4386_628_000         | trestle  | 11× 3 |  33 cells | 1.4s
4386_629_000         | trestle  |  8× 3 |  24 cells | 1.4s
4386_638_000         | trestle  | 11× 3 |  33 cells | 1.4s
4386_639_000         | trestle  |  8× 3 |  24 cells | 1.3s
4386_662_000         | trestle  | 10× 3 |  30 cells | 1.3s
4386_663_000         | trestle  | 11× 8 |  88 cells | 1.3s
4386_672_000         | trestle  | 10× 3 |  30 cells | 1.4s
4386_673_000         | trestle  | 11× 8 |  88 cells | 1.6s
4386_682_000         | trestle  | 10× 5 |  50 cells | 1.5s
4386_692_000         | trestle  | 10× 5 |  50 cells | 1.5s
4387_20A             | crane    | 10×26 | 260 cells | 2.3s
4387_20B             | crane    | 10×26 | 260 cells | 2.3s
4387_20C             | crane    |  9×26 | 234 cells | 2.4s
4387_20D             | crane    | 12×26 | 312 cells | 2.3s
4387_20E             | crane    | 10×26 | 260 cells | 2.2s
4387_20F             | crane    |  9×26 | 234 cells | 2.7s
4387_20G             | crane    |  9×26 | 234 cells | 2.1s
4387_20H             | crane    | 19×26 | 494 cells | 3.3s
4387_20K             | crane    | 10×26 | 260 cells | 2.2s
4387_242_000         | trestle  | 10×10 | 100 cells | 1.5s
4387_252_000         | trestle  | 10× 7 |  70 cells | 1.4s
4387_283_000         | trestle  | 11× 7 |  77 cells | 1.5s
4387_293_000         | trestle  | 11× 7 |  77 cells | 1.4s
4387_628_000         | trestle  | 11× 3 |  33 cells | 1.5s
4387_629_000         | trestle  |  8× 3 |  24 cells | 1.5s
