block_id,block_type,grid_width,grid_height,area_cells,area_m2,original_x,original_y,original_z,vertices,faces,file_size_mb,processing_time
4377_286_000,trestle,11,9,99,396.0,21.815428999999995,18.790163,5.299524999999999,13820,8354,0.272705078125,1.1939027309417725
4377_287_000,trestle,11,10,110,440.0,21.970245000000034,20.247591,5.292964,12155,7036,0.242645263671875,1.2496325969696045
4377_296_000,trestle,11,9,99,396.0,21.815155000000004,18.790160999999998,5.299944,13579,8206,0.270355224609375,1.2179508209228516
4377_297_000,trestle,11,16,176,704.0,21.97128299999997,31.146558,5.296267,12519,7279,0.2522735595703125,1.3197746276855469
4377_642_000,trestle,8,2,16,64.0,15.004104999999981,3.6058379999999985,14.337206000000002,9022,5415,0.1626739501953125,1.1855449676513672
4377_643_000,trestle,8,3,24,96.0,16.62307800000002,6.257501999999999,14.343720000000001,13172,8092,0.2435150146484375,1.1931700706481934
4377_646_000,trestle,11,4,44,176.0,21.804290999999978,8.432646000000002,9.172827000000002,12173,7028,0.224365234375,1.3066685199737549
4377_647_000,trestle,11,7,77,308.0,21.817718000000013,13.485140000000001,6.591868999999999,14636,8160,0.3067626953125,1.2321600914001465
4377_652_000,trestle,8,2,16,64.0,15.004104999999981,3.6058309999999985,14.337208999999998,8908,5231,0.15771484375,1.2506976127624512
4377_653_000,trestle,8,3,24,96.0,16.62307800000002,6.257501000000001,14.343723000000004,13310,8047,0.2420806884765625,1.349320650100708
4377_656_000,trestle,11,4,44,176.0,21.804290999999978,8.432646000000002,9.175489999999996,11962,6822,0.2177276611328125,1.3764688968658447
4377_657_000,trestle,11,7,77,308.0,21.820892000000015,13.485139,6.591873,14465,8094,0.30517578125,1.4797048568725586
4377_666_000,trestle,11,7,77,308.0,21.813354000000004,13.375982,5.298256000000002,12844,7339,0.259307861328125,1.4400479793548584
4377_667_000,trestle,11,10,110,440.0,22.127501999999993,20.045661000000003,5.2982559999999985,13947,8109,0.285247802734375,1.4949345588684082
4377_676_000,trestle,11,7,77,308.0,21.81298800000002,13.375982,5.295542000000001,12645,7291,0.2570037841796875,1.4906127452850342
4377_677_000,trestle,11,10,110,440.0,22.127501999999993,20.060371,5.297768000000001,13645,7971,0.28466796875,1.4807989597320557
4377_686_000,trestle,11,8,88,352.0,21.81384300000002,16.673652000000004,5.274092999999999,15309,9140,0.304656982421875,1.4491758346557617
4377_687_000,trestle,11,13,143,572.0,21.989837000000023,25.301981,5.295428000000001,15897,8795,0.3079833984375,1.4431777000427246
4377_696_000,trestle,11,8,88,352.0,21.81228699999997,16.673650000000002,5.297756,14926,8990,0.297882080078125,1.4681143760681152
4377_697_000,trestle,11,21,231,924.0,21.989837000000023,41.247253,5.298233,16245,9033,0.3140106201171875,1.5134391784667969
4381_20H,crane,11,26,286,1144.0,21.772109999999998,51.042004000000006,29.809995,107052,67284,2.0084686279296875,2.2191038131713867
4383_169_000,trestle,11,2,22,88.0,21.800689999999996,3.5319010000000013,13.104913,7391,4390,0.137542724609375,1.5015971660614014
4383_179_000,trestle,11,2,22,88.0,21.800689999999996,3.530669000000003,13.104913999999997,7205,4319,0.134918212890625,1.5138099193572998
4383_20A,crane,9,26,234,936.0,18.834609999999998,51.042004000000006,29.817922,84814,54587,1.680633544921875,2.145185708999634
4383_20B,crane,11,26,286,1144.0,21.350630999999993,51.032962,29.814996,92691,59354,1.7462158203125,2.0806591510772705
4383_20C,crane,11,26,286,1144.0,21.90459399999999,51.042004000000006,29.813004,149175,95654,2.6347808837890625,2.501080274581909
4383_20D,crane,11,26,286,1144.0,21.90115399999999,51.162644,29.812996000000002,137329,89251,2.40228271484375,2.4635698795318604
4383_20E,crane,11,26,286,1144.0,21.90235899999999,51.038622,29.812996000000002,134972,84889,2.358612060546875,2.355562686920166
4383_20F,crane,11,26,286,1144.0,22.029799999999994,51.036004,29.812996000000002,92681,59826,1.7244415283203125,2.128541946411133
4383_20H,crane,10,26,260,1040.0,20.66494800000001,51.067002,31.819378999999998,136935,90886,2.3614349365234375,2.3982014656066895
4383_227_000,trestle,8,13,104,416.0,16.311630000000008,26.22169,6.125368,27669,16549,0.4933929443359375,1.6366596221923828
4383_237_000,trestle,8,11,88,352.0,16.311630000000008,21.126401,6.125347,21968,12808,0.392364501953125,1.576575756072998
4383_627_000,trestle,8,3,24,96.0,16.10270699999998,5.761002000000001,18.893425,13877,8306,0.23583984375,1.4530284404754639
