block_id,block_type,grid_width,grid_height,area_cells,area_m2,original_x,original_y,original_z,vertices,faces,file_size_mb,processing_time,deadline
4393_628_000,trestle,20,6,120,120.0,19.550400000000025,5.765001000000002,23.78583,13632,8278,0.24847412109375,0.0354228019714355,2025-11-26
4393_629_000,trestle,16,6,96,96.0,15.651901999999978,5.765001000000002,20.894002,13179,7880,0.236968994140625,0.0352725982666015,2025-11-26
4393_638_000,trestle,20,6,120,120.0,19.550400000000025,5.765001999999999,23.785907,13786,8357,0.2474212646484375,0.0365235805511474,2025-11-26
4393_639_000,trestle,16,6,96,96.0,15.651901999999978,5.765001999999999,20.893838,13027,7647,0.2305450439453125,0.0356717109680175,2025-11-12
4393_643_000,trestle,22,8,176,176.0,21.863220000000013,8.48065,9.313492,13372,7729,0.2751922607421875,0.0361773967742919,2025-11-12
4393_644_000,trestle,22,18,396,396.0,21.646483999999987,17.984073,9.335165,20893,12628,0.4793548583984375,0.0484251976013183,2025-11-12
4393_653_000,trestle,22,8,176,176.0,21.865081999999973,8.480649999999997,9.313487000000002,13265,7570,0.268402099609375,0.0353593826293945,2025-10-15
4393_654_000,trestle,22,18,396,396.0,21.646483999999987,17.984071999999998,9.336377,20822,12421,0.4776153564453125,0.0479078292846679,2025-10-15
4393_683_000,trestle,22,15,330,330.0,21.87912,15.06412,6.790341999999999,14688,8420,0.277099609375,0.0370299816131591,2025-10-15
4393_693_000,trestle,22,15,330,330.0,21.87912,15.063948,6.790343999999999,14672,8392,0.277496337890625,0.0353562831878662,2025-08-20
